Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
3820000,0.10751362,1.0,0.75920004,0.05247775,0.00067593995,0.09663339,1.382132e-05,0.022277633,0.024241786,0.842020303113634,37.547528517110266,0.8421845127835529,0.006349080400843571
3830000,0.10519324,1.0,0.7687521,0.033659447,0.00010002019,0.09629635,1.3126636e-05,0.013529859,0.01813915,0.8500927555535857,36.50375939849624,0.8496567115801551,0.004950744068086119
3840000,0.10840529,1.0,0.7547436,0.019026091,0.0022314505,0.09759892,1.2434229e-05,0.013580148,0.016742485,0.8280449662783117,36.37078651685393,0.8281698200140106,0.004313844648514236
3850000,0.09983197,1.0,0.7637726,0.01950087,0.0019313174,0.09634368,1.1662387e-05,0.011345458,0.016243072,0.8355488949980503,36.3609022556391,0.8430390276998844,0.0035298451899884726
3860000,0.0990868,1.0,0.7593392,0.01901049,0.001155228,0.09102803,1.0889844e-05,0.008954438,0.01702406,0.8437108832427342,37.121212121212125,0.8362302238086484,0.0034781623455994535
3870000,0.10368105,1.0,0.7694497,0.01316489,9.9127225e-05,0.089145415,1.0118856e-05,0.008274239,0.017053843,0.8427459975482973,36.44237918215613,0.8427152088773784,0.0027137641621659747
3880000,0.11013031,1.0,0.7574942,0.0031384944,0.0035557155,0.09395055,9.347464e-06,0.0125628635,0.019459503,0.8335718186894575,36.75769230769231,0.8335977349701512,0.003326728917485267
3890000,0.107065976,1.0,0.7657608,0.0022290337,0.00010358645,0.09649914,8.57701e-06,0.014462167,0.019005481,0.8435924756472474,37.16981132075472,0.8434666991233826,0.0060032732384982255
3900000,0.10180899,1.0,0.76964086,-0.0022073,0.00021987071,0.09809743,7.808799e-06,0.013110638,0.01795887,0.8503060948906889,36.438661710037174,0.8500462272640471,0.003961982840780267
3910000,0.109251,1.0,0.76463366,-0.0027484992,0.0012157097,0.0964488,7.1110367e-06,0.010461481,0.014023165,0.8370526552557441,35.96616541353384,0.8376042795984933,0.003428508047091213
3920000,0.10588641,1.0,0.7533602,0.007817297,0.0015776694,0.09348654,6.4163223e-06,0.014613742,0.019118136,0.8377407638095604,37.64367816091954,0.8375420169975921,0.0050041408765481655
3930000,0.10054646,1.0,0.7659254,0.016524633,9.5649026e-05,0.096218795,5.6417784e-06,0.009532541,0.025308346,0.84195616370053,36.62406015037594,0.8419160730856702,0.003258458486604119
3940000,0.104574345,1.0,0.7705995,0.017015394,0.0006537206,0.09397207,4.869953e-06,0.008559094,0.017781341,0.851446138985483,36.14661654135338,0.8514261001482942,0.0025686396308211763
3950000,0.10737789,1.0,0.75665605,0.027522208,0.0013082388,0.09960218,4.0987898e-06,0.019293964,0.018512703,0.8272132022069882,38.32945736434109,0.8275026174247727,0.005837847490193929
3960000,0.10473437,1.0,0.7612892,0.053514168,0.0028325852,0.10409049,3.3296146e-06,0.012474528,0.017109834,0.8428705363928412,36.34230769230769,0.8426808031705709,0.003727612509436977
3970000,0.10157488,1.0,0.75266,0.06568043,0.003982591,0.10340376,2.5598067e-06,0.0095685925,0.018966902,0.8368308310922602,37.91287878787879,0.8370732640226682,0.004421933270130081
3980000,0.09952344,1.0,0.7664756,0.043212302,0.005363828,0.09263609,1.8675249e-06,0.0118012605,0.018885126,0.8434200971993205,36.301115241635685,0.8429938141089767,0.0031731914815322647
3990000,0.10771623,1.0,0.7666789,0.02127023,0.007931401,0.10597558,1.1766991e-06,0.0093422625,0.018053316,0.8512094725972448,36.20306513409962,0.8514631351896824,0.003050992680795292
4000000,0.109665126,1.0,0.75126004,-0.027302893,0.013803084,0.09601955,4.0939068e-07,0.011780342,0.020814229,0.8298633692436406,37.701149425287355,0.829771425075458,0.004381845914847949
