Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
900000,0.47613156,3.0,0.485817,0.13029125,0.581366370632636,96.31683168316832,0.5815247120243487,0.06118167413048225,0.0026069065,0.10028193,0.00022931033,0.060335226,0.031230574
910000,0.4847268,3.0,0.44540355,0.13103706,0.4983402408717066,103.82474226804123,0.5155944510833504,0.07074734977609717,0.0034731117,0.09936493,0.00022849735,0.07614792,0.033124067
920000,0.4504973,3.0,0.41150248,0.13121095,0.6268273069819604,90.1,0.6123029922897165,0.05352061333304102,0.0032934335,0.0993978,0.00022775918,0.06823295,0.027237311
930000,0.41452247,3.0,0.44733253,0.11709971,0.5621254457377525,96.15841584158416,0.5612144824301842,0.05565760138048099,0.0030447352,0.099718854,0.00022702757,0.06038805,0.028657466
940000,0.34934354,3.0,0.4023063,0.12095783,0.588869190607307,92.42990654205607,0.5888940460771044,0.05669110642624236,0.0040232874,0.103270724,0.00022621313,0.069477,0.028333092
950000,0.33661732,3.0,0.4768331,0.111165136,0.6076550034667251,88.35087719298245,0.608403473046788,0.04642478502437211,0.0025708128,0.10440786,0.00022540346,0.049046315,0.01914144
960000,0.293303,3.0,0.5107703,0.09766496,0.6089524112591919,87.88392857142857,0.6081666297146252,0.04470551136182621,0.0034025987,0.098782495,0.0002245912,0.056160104,0.019789893
970000,0.34572512,4.0,0.34725618,0.10379755,0.2103778170949469,129.53333333333333,0.2167192501457114,0.10182116711113945,0.006056915,0.10669227,0.00022377868,0.087996826,0.036814727
980000,0.3734304,4.0,0.10122686,0.10483136,0.12801994574117237,145.7910447761194,0.1280198417492767,0.12108926247473487,0.012920033,0.096225634,0.00022304141,0.08411008,0.04426958
990000,0.34937385,4.0,0.23394452,0.08661633,0.5235307787983561,98.74757281553399,0.5218627011659098,0.050275168929468185,0.0077942335,0.1022885,0.00022229792,0.05875803,0.028236723
1000000,0.35070246,4.0,0.4526141,0.09017527,0.5958269559979761,95.27884615384616,0.5965704697255905,0.04658848724256341,0.0021337015,0.098850146,0.00022147983,0.05198986,0.026775334
1010000,0.3190886,4.0,0.5058156,0.09512139,0.614967292856558,88.59821428571429,0.6150624552475554,0.041886355075153654,0.002075911,0.09339819,0.00022066382,0.051018488,0.017416032
1020000,0.3219205,4.0,0.49581352,0.0969569,0.5398921911495135,96.8529411764706,0.5391339428868949,0.05118825948596293,0.00494182,0.1014531,0.00021984307,0.059836995,0.019082047
1030000,0.30663976,4.0,0.50241596,0.099767976,0.6217447768368229,89.11711711711712,0.6217326849430531,0.034476569434208376,0.0016445129,0.09452315,0.00021902681,0.041527998,0.015664775
1040000,0.32713947,4.0,0.5004669,0.099183865,0.6500058794688237,86.53508771929825,0.650052586668416,0.029923121436711466,0.0014546795,0.09917923,0.00021828974,0.045029294,0.016518194
1050000,0.561483,5.0,0.26168585,0.102593616,-0.49954415835459165,199.79591836734693,-0.47597339808940886,0.22582476092502474,0.0032145206,0.101917386,0.00021755723,0.12676978,0.06498425
1060000,0.7079563,5.0,-0.05816198,0.09585789,-0.879055489924559,236.02380952380952,-0.879055632012231,0.2301593233077299,0.001694239,0.098096445,0.00021672962,0.09819134,0.1250949
1070000,0.7087442,5.0,-0.2093781,0.10001774,-0.9571915983746294,244.0,-0.9560940899910071,0.3028832400838534,0.00086383335,0.10735675,0.00021589948,0.11402802,0.091713496
1080000,0.5332345,5.0,-0.29888597,0.117947295,-0.9624915985681582,245.225,-0.9625584103167057,0.3022845321334898,0.00089596224,0.10222374,0.00021514474,0.12003064,0.0618973
1090000,0.54279095,5.0,-0.3186278,0.11901953,-0.7360075138488107,222.11363636363637,-0.741814888185925,0.2741086689962281,0.0037527145,0.10253866,0.00021439538,0.117849186,0.07030913
1100000,0.57604176,5.0,-0.1419751,0.10754299,-0.23912360548462358,167.24193548387098,-0.22669402253432352,0.21366838460452245,0.004488615,0.09795518,0.00021357457,0.13627203,0.07926486
1110000,0.5352927,6.0,0.16233408,0.09303405,-0.0005261878330705676,60.57232704402516,0.000387851172273264,0.061846378493655776,0.01179103,0.09413106,0.00021276006,0.09300937,0.054404747
1120000,0.48599756,6.0,-0.5115898,0.10871182,-1.1744030672910646,115.23255813953489,-1.1740383389352382,0.0670164646901961,0.0035545644,0.10354356,0.00021194332,0.054182958,0.0405324
1130000,0.19500525,6.0,-0.42177302,0.07045759,-1.0549721674469765,210.14583333333334,-1.0561419123030724,0.07943546111160453,0.0011028514,0.10613136,0.00021119852,0.03189565,0.019739013
1140000,0.19142297,6.0,-0.4201251,0.05530828,-1.0293866162840277,201.1,-1.0294400560855865,0.061884502861648795,0.000980275,0.10285304,0.00021045175,0.028067967,0.02130617
